feature_set,feature_set_name,held_out_domain,base_model,base_model_name,meta_coefficient
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Southern coastal region,logistic_l2,Logistic Regression,0.8508365308101294
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Southern coastal region,random_forest,Random Forest,0.7544788303974413
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Southern coastal region,extra_trees,Extra Trees,0.6612893067978536
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Southern coastal region,xgboost,XGBoost,0.3197159339467646
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Southern coastal region,lightgbm,LightGBM,0.06257568411147794
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Southern coastal region,catboost,CatBoost,0.8796401529054174
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Transitional foothills and plateaus,logistic_l2,Logistic Regression,0.47574069057029617
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Transitional foothills and plateaus,random_forest,Random Forest,1.449825427846718
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Transitional foothills and plateaus,extra_trees,Extra Trees,0.03756015594202038
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Transitional foothills and plateaus,xgboost,XGBoost,0.7953435892939721
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Transitional foothills and plateaus,lightgbm,LightGBM,-0.2985994335386234
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Transitional foothills and plateaus,catboost,CatBoost,0.984055951658751
