FullName,Length,LastWriteTime
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\01_model_curves\figure_stacked_ensemble_pr_curves_2018.png,176475,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\01_model_curves\figure_stacked_ensemble_roc_curves_2018.png,163528,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\01_model_curves\figure_stacked_meta_coefficients_2018_alphaearth_embeddings.png,84072,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\01_model_curves\figure_stacked_meta_coefficients_2018_conventional.png,77424,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\01_model_curves\figure_stacked_meta_coefficients_2018_conventional_alphaearth_embeddings.png,83904,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\01_model_curves\figure_v3_model_family_pr_curves_2018.png,264987,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\01_model_curves\figure_v3_model_family_roc_curves_2018.png,231481,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\factor_level_shap_2018.md,4016,5/3/2026 4:21
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_factor_shap_beeswarm_2018_alphaearth_embeddings.png,625568,5/3/2026 4:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_factor_shap_beeswarm_2018_conventional.png,536042,5/3/2026 4:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_factor_shap_beeswarm_2018_conventional_alphaearth_embeddings.png,610829,5/3/2026 4:21
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_factor_shap_importance_2018_alphaearth_embeddings.png,173051,5/3/2026 4:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_factor_shap_importance_2018_conventional.png,161556,5/3/2026 4:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_factor_shap_importance_2018_conventional_alphaearth_embeddings.png,177807,5/3/2026 4:21
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_stacked_shap_beeswarm_2018_alphaearth_embeddings.png,197786,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_stacked_shap_beeswarm_2018_conventional.png,180107,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_stacked_shap_beeswarm_2018_conventional_alphaearth_embeddings.png,179909,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_stacked_shap_importance_2018_alphaearth_embeddings.png,81984,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_stacked_shap_importance_2018_conventional.png,78781,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_stacked_shap_importance_2018_conventional_alphaearth_embeddings.png,82712,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_treeshap_waterfall_2018_fused_high_susceptibility.png,668213,5/2/2026 14:59
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_v3_fused_xgboost_shap_beeswarm.png,576880,5/3/2026 3:43
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\figure_v3_fused_xgboost_shap_importance.png,172414,5/3/2026 3:43
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\02_shap_and_explainability\v3_shap_calibration_interpretation_2018.md,1999,5/3/2026 3:43
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\03_maps_uncertainty_added_value_exposure\fig_cpec_2018_alphaearth_added_value_250m.png,3289787,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\03_maps_uncertainty_added_value_exposure\fig_cpec_2018_fused_quantile_priority_zones_250m.png,2457735,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\03_maps_uncertainty_added_value_exposure\fig_cpec_2018_road_exposure_hotspots_250m.png,1779590,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\03_maps_uncertainty_added_value_exposure\fig_cpec_2018_stacked_uncertainty_reliability_250m.png,4068749,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\01_primary_stacked_maps\cpec_2018_alphaearth_embeddings_stacked_ensemble_probability_250m_no_nodata.tif,69226578,5/3/2026 17:41
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\01_primary_stacked_maps\cpec_2018_alphaearth_embeddings_stacked_ensemble_probability_250m_no_nodata.tif.aux.xml,443,5/3/2026 19:44
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\01_primary_stacked_maps\cpec_2018_alphaearth_embeddings_stacked_ensemble_probability_250m_no_nodata.tif.ovr,23139454,5/3/2026 19:44
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\01_primary_stacked_maps\cpec_2018_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m_no_nodata.tif,110827564,5/3/2026 19:19
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\01_primary_stacked_maps\cpec_2018_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m_no_nodata.tif.aux.xml,471,5/3/2026 19:44
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\01_primary_stacked_maps\cpec_2018_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m_no_nodata.tif.ovr,59086470,5/3/2026 19:44
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\01_primary_stacked_maps\cpec_2018_conventional_stacked_ensemble_probability_250m_no_nodata.tif,126876522,5/3/2026 16:36
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\01_primary_stacked_maps\cpec_2018_conventional_stacked_ensemble_probability_250m_no_nodata.tif.aux.xml,425,5/3/2026 19:44
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\01_primary_stacked_maps\cpec_2018_conventional_stacked_ensemble_probability_250m_no_nodata.tif.ovr,62161937,5/3/2026 19:44
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\cpec_2018_alphaearth_conventional_disagreement_abs_250m.tif,72476045,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\cpec_2018_alphaearth_minus_conventional_probability_250m.tif,73602362,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\cpec_2018_fused_minus_alphaearth_probability_250m.tif,71754331,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\cpec_2018_fused_minus_conventional_added_value_250m.tif,73727907,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\cpec_2018_fused_probability_entropy_250m.tif,69347798,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\cpec_2018_fused_probability_quantile_priority_zones_250m.tif,3446048,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\cpec_2018_fused_reliability_score_250m.tif,69773912,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\cpec_2018_reliable_high_probability_mask_250m.tif,347649,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\cpec_2018_stacked_mean_probability_250m.tif,70176267,5/3/2026 20:14
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\cpec_2018_stacked_probability_disagreement_range_250m.tif,71577489,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\cpec_2018_stacked_probability_disagreement_std_250m.tif,71703463,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\cpec_2018_uncertain_high_probability_mask_250m.tif,1218434,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\road_exposure_sample_points_250m.csv,1373949,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\road_exposure_summary_250m.csv,618,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\road_hotspot_segments_top50_250m.csv,8122,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\road_segment_exposure_all_250m.csv,304513,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\stacked_250m_raster_diagnostics.csv,2263,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\04_probability_maps_250m\02_uncertainty_added_value_reliability\stacked_250m_thresholds_and_diagnostics.json,390,5/3/2026 20:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\05_road_exposure_outputs\road_exposure_sample_points_250m.csv,1373949,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\05_road_exposure_outputs\road_exposure_summary_250m.csv,618,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\05_road_exposure_outputs\road_hotspot_segments_top50_250m.csv,8122,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\05_road_exposure_outputs\road_hotspot_segments_top50_250m.geojson,92678,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\05_road_exposure_outputs\road_segment_exposure_all_250m.csv,304513,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\05_road_exposure_outputs\road_segment_exposure_all_250m.gpkg,1056768,5/3/2026 20:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\cpec_2018_local_v3_factors_250m.tif,1298553964,5/3/2026 15:47
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\cpec_2018_lsm_samples_v3.csv,6230089,5/3/2026 3:02
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\local_v3_factor_stack_250m_qa.csv,1972,5/3/2026 15:47
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\readable_conventional_factor_list.csv,857,5/3/2026 23:52
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\sample_v3_added_factor_qa.csv,3566,5/3/2026 3:02
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\sample_v3_sources.json,2483,5/3/2026 3:02
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\v3_candidate_vif.csv,2208,5/3/2026 3:43
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\v3_final_selected_conventional_factors.csv,285,5/3/2026 3:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\v3_final_selected_vif.csv,644,5/3/2026 3:12
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\v3_high_correlation_pairs_abs_ge_0_85.csv,1132,5/3/2026 3:43
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\v3_seed_selected_vif.csv,1521,5/3/2026 3:43
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\study_area_boundary_official\CPEC_BOUNDARY.dbf,874,5/1/2026 15:55
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\study_area_boundary_official\CPEC_BOUNDARY.prj,401,5/1/2026 15:55
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\study_area_boundary_official\CPEC_BOUNDARY.sbn,132,5/1/2026 15:55
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\study_area_boundary_official\CPEC_BOUNDARY.sbx,116,5/1/2026 15:55
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\study_area_boundary_official\CPEC_BOUNDARY.shp,1690676,5/1/2026 15:55
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\study_area_boundary_official\CPEC_BOUNDARY.shp.xml,8570,5/1/2026 15:55
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\06_samples_factors_and_vif\study_area_boundary_official\CPEC_BOUNDARY.shx,108,5/1/2026 15:55
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\apply_2018_fused_stacked_ensemble_tiles.py,8463,5/3/2026 18:17
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\apply_2018_stacked_ensemble_from_hybrid_stacks.py,12254,5/3/2026 15:49
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\audit_temporal_inventory_and_create_annual_factor_manifest.py,27807,5/4/2026 0:30
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\build_2018_lsm_samples_v3_with_literature_factors.py,9771,5/3/2026 3:02
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\build_local_v3_factor_stack_250m.py,9439,5/3/2026 15:15
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\create_250m_stacked_uncertainty_added_value_and_road_hotspots.py,36470,5/3/2026 20:18
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\make_factor_level_shap_beeswarm_2018.py,7473,5/3/2026 4:19
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\make_v3_stacked_ensemble_interpretation_figures.py,9944,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\make_v3_stacked_ensemble_paper_curves.py,7751,5/3/2026 4:05
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\resample_stacked_probability_rasters_to_30m_display.py,4772,5/3/2026 19:23
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\run_2018_v3_model_family.py,24152,5/3/2026 3:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\run_v3_multicollinearity_diagnostics.py,11079,5/3/2026 3:43
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\07_reproducible_scripts\setup_annual_dynamic_2017_2024_workspace.py,5208,5/4/2026 0:49
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_alphaearth_embeddings_catboost.joblib,432058,5/3/2026 3:18
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_alphaearth_embeddings_extra_trees.joblib,66626482,5/3/2026 3:18
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_alphaearth_embeddings_lightgbm.joblib,2121670,5/3/2026 3:18
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_alphaearth_embeddings_logistic_l2.joblib,4817,5/3/2026 3:17
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_alphaearth_embeddings_random_forest.joblib,15478674,5/3/2026 3:18
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_alphaearth_embeddings_stacked_l2_logistic.joblib,1857,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_alphaearth_embeddings_xgboost.joblib,788857,5/3/2026 3:18
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_alphaearth_embeddings_catboost.joblib,433707,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_alphaearth_embeddings_extra_trees.joblib,59273810,5/3/2026 3:19
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_alphaearth_embeddings_lightgbm.joblib,2116822,5/3/2026 3:19
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_alphaearth_embeddings_logistic_l2.joblib,5873,5/3/2026 3:18
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_alphaearth_embeddings_random_forest.joblib,13106322,5/3/2026 3:19
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_alphaearth_embeddings_stacked_l2_logistic.joblib,1857,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_alphaearth_embeddings_xgboost.joblib,781901,5/3/2026 3:19
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_catboost.joblib,428563,5/3/2026 3:17
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_extra_trees.joblib,64141394,5/3/2026 3:17
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_lightgbm.joblib,2076886,5/3/2026 3:17
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_logistic_l2.joblib,2929,5/3/2026 3:16
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_random_forest.joblib,14152626,5/3/2026 3:17
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_stacked_l2_logistic.joblib,1857,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\08_model_files_optional_background\model_conventional_v3_xgboost.joblib,761353,5/3/2026 3:17
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\09_temporal_extension_plan\annual_dynamic_factor_manifest_2017_2024.csv,7150,5/4/2026 0:30
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\09_temporal_extension_plan\annual_dynamic_susceptibility_extension_plan_2017_2024_2026-05-04.md,24618,5/4/2026 0:50
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\09_temporal_extension_plan\annual_factor_year_coverage_matrix_2017_2024.csv,3926,5/4/2026 0:30
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\09_temporal_extension_plan\README_ANNUAL_DIRECTORY_STRUCTURE.md,2079,5/4/2026 0:49
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\09_temporal_extension_plan\README_TEMPORAL_EXTENSION.md,1088,5/4/2026 0:50
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\09_temporal_extension_plan\temporal_extension_decision_2017_2024.json,629,5/4/2026 0:30
