feature,factor_name,importance,feature_set,feature_set_name,model,model_name
rain_max_1day,Maximum 1-day rainfall,0.07111086696386337,conventional_reduced,Conventional,xgboost,XGBoost
rain_monsoon_total,Monsoon rainfall total,0.06211987882852554,conventional_reduced,Conventional,xgboost,XGBoost
rain_monsoon_total,Monsoon rainfall total,3082.0,conventional_reduced,Conventional,lightgbm,LightGBM
elevation_m,Elevation (m),3021.0,conventional_reduced,Conventional,lightgbm,LightGBM
rain_max_1day,Maximum 1-day rainfall,2484.0,conventional_reduced,Conventional,lightgbm,LightGBM
lst_day_mean_c,Mean daytime LST (deg C),2465.0,conventional_reduced,Conventional,lightgbm,LightGBM
ndvi_median,NDVI median,2366.0,conventional_reduced,Conventional,lightgbm,LightGBM
aspect_deg,Aspect (degrees),2037.0,conventional_reduced,Conventional,lightgbm,LightGBM
ndvi_amplitude,NDVI amplitude,1892.0,conventional_reduced,Conventional,lightgbm,LightGBM
modis_lc_type1,MODIS land-cover class,378.0,conventional_reduced,Conventional,lightgbm,LightGBM
slope_deg,Slope (degrees),275.0,conventional_reduced,Conventional,lightgbm,LightGBM
A16,AlphaEarth embedding band A16,2.457612728561819,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A09,AlphaEarth embedding band A09,1.5098611232419126,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A19,AlphaEarth embedding band A19,1.3670987714156673,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A34,AlphaEarth embedding band A34,1.3247724854570897,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A48,AlphaEarth embedding band A48,1.2999679393616888,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A56,AlphaEarth embedding band A56,1.260389131124381,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A42,AlphaEarth embedding band A42,1.2102449079417954,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A00,AlphaEarth embedding band A00,1.195585938559761,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A01,AlphaEarth embedding band A01,1.136771040115688,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A18,AlphaEarth embedding band A18,0.9962642562347765,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A49,AlphaEarth embedding band A49,0.9333426027032603,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A44,AlphaEarth embedding band A44,0.9096277745663331,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A22,AlphaEarth embedding band A22,0.8973508682431661,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A36,AlphaEarth embedding band A36,0.8623347972771509,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A17,AlphaEarth embedding band A17,0.8468047383527336,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A32,AlphaEarth embedding band A32,0.8110042945309215,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A45,AlphaEarth embedding band A45,0.8009297037148563,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A25,AlphaEarth embedding band A25,0.7929843713814216,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A27,AlphaEarth embedding band A27,0.7438010586344155,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A03,AlphaEarth embedding band A03,0.7126462217594928,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A31,AlphaEarth embedding band A31,0.6259312261049711,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A20,AlphaEarth embedding band A20,0.6201291370483658,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A52,AlphaEarth embedding band A52,0.6143232027824327,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A60,AlphaEarth embedding band A60,0.609659558055695,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A15,AlphaEarth embedding band A15,0.6061665033936052,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A11,AlphaEarth embedding band A11,0.5738813990113665,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A54,AlphaEarth embedding band A54,0.5530124224088855,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A38,AlphaEarth embedding band A38,0.5373972203377255,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A62,AlphaEarth embedding band A62,0.5152225772179971,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A51,AlphaEarth embedding band A51,0.4929687238647793,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A63,AlphaEarth embedding band A63,0.47960318940908064,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A55,AlphaEarth embedding band A55,0.4788925032407374,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A29,AlphaEarth embedding band A29,0.43683232511497966,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A04,AlphaEarth embedding band A04,0.3373045090957031,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A14,AlphaEarth embedding band A14,0.3279557943823774,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A39,AlphaEarth embedding band A39,0.32539173603264226,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A53,AlphaEarth embedding band A53,0.3036225550454436,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A21,AlphaEarth embedding band A21,0.287304229389065,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A10,AlphaEarth embedding band A10,0.2800569378954247,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A57,AlphaEarth embedding band A57,0.2528115334302435,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A06,AlphaEarth embedding band A06,0.24432996731442827,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A35,AlphaEarth embedding band A35,0.2340933706060572,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A07,AlphaEarth embedding band A07,0.23256558619663828,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A40,AlphaEarth embedding band A40,0.22014109738996732,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A59,AlphaEarth embedding band A59,0.2072059718803547,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A12,AlphaEarth embedding band A12,0.2026808239842494,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A43,AlphaEarth embedding band A43,0.2025450671587535,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A24,AlphaEarth embedding band A24,0.20123286082430458,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A37,AlphaEarth embedding band A37,0.18255875787577464,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A46,AlphaEarth embedding band A46,0.17445361055351255,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A05,AlphaEarth embedding band A05,0.17196091932984853,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A58,AlphaEarth embedding band A58,0.16764129833784508,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A26,AlphaEarth embedding band A26,0.13781668532791488,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A02,AlphaEarth embedding band A02,0.13110986595272123,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A30,AlphaEarth embedding band A30,0.10061411558346517,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A61,AlphaEarth embedding band A61,0.08669418073492313,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A08,AlphaEarth embedding band A08,0.07649809118742151,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A50,AlphaEarth embedding band A50,0.06717633901031278,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A41,AlphaEarth embedding band A41,0.06457756194237654,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A13,AlphaEarth embedding band A13,0.051710183751726806,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A33,AlphaEarth embedding band A33,0.0441591101300817,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A28,AlphaEarth embedding band A28,0.026009773226539277,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A47,AlphaEarth embedding band A47,0.010536852190797452,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A23,AlphaEarth embedding band A23,0.007810868422414706,alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A16,AlphaEarth embedding band A16,0.11606630929554787,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A55,AlphaEarth embedding band A55,0.08656143049047066,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A15,AlphaEarth embedding band A15,0.04965705090980727,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A44,AlphaEarth embedding band A44,0.041342238481532255,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A14,AlphaEarth embedding band A14,0.03404382486893829,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A34,AlphaEarth embedding band A34,0.03060725068236464,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A60,AlphaEarth embedding band A60,0.029240100616395898,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A24,AlphaEarth embedding band A24,0.0205401094089542,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A42,AlphaEarth embedding band A42,0.0202643848039633,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A09,AlphaEarth embedding band A09,0.020029159780767514,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A02,AlphaEarth embedding band A02,0.01876298734786233,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A17,AlphaEarth embedding band A17,0.01865746314122795,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A08,AlphaEarth embedding band A08,0.017072622797178614,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A57,AlphaEarth embedding band A57,0.016117501983199816,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A03,AlphaEarth embedding band A03,0.015750737971469295,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A49,AlphaEarth embedding band A49,0.015717323608457155,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A45,AlphaEarth embedding band A45,0.015473416629092785,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A58,AlphaEarth embedding band A58,0.015070719665926246,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A48,AlphaEarth embedding band A48,0.014595888135259165,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A39,AlphaEarth embedding band A39,0.014594206481801842,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A01,AlphaEarth embedding band A01,0.014194122614042702,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A47,AlphaEarth embedding band A47,0.013983408786052098,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A07,AlphaEarth embedding band A07,0.0139242029386842,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A50,AlphaEarth embedding band A50,0.013673855321869167,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A22,AlphaEarth embedding band A22,0.012701209352107438,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A46,AlphaEarth embedding band A46,0.012578011247757022,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A25,AlphaEarth embedding band A25,0.012537153103353162,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A18,AlphaEarth embedding band A18,0.012439855789327207,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A61,AlphaEarth embedding band A61,0.01068025940988295,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A54,AlphaEarth embedding band A54,0.010649127067341316,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A26,AlphaEarth embedding band A26,0.010364953756306272,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A19,AlphaEarth embedding band A19,0.010043710794850912,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A51,AlphaEarth embedding band A51,0.010007552564210395,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A56,AlphaEarth embedding band A56,0.009641501650340152,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A12,AlphaEarth embedding band A12,0.00946478352237382,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A13,AlphaEarth embedding band A13,0.009341992997315826,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A05,AlphaEarth embedding band A05,0.009226200865914004,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A41,AlphaEarth embedding band A41,0.009179852681856232,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A00,AlphaEarth embedding band A00,0.009176064716640875,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A20,AlphaEarth embedding band A20,0.009094208411027097,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A35,AlphaEarth embedding band A35,0.008725016200657274,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A29,AlphaEarth embedding band A29,0.008537882418388591,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A27,AlphaEarth embedding band A27,0.00836114509418152,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A53,AlphaEarth embedding band A53,0.008337117613654391,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A38,AlphaEarth embedding band A38,0.007803628302536901,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A37,AlphaEarth embedding band A37,0.007793092445514465,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A40,AlphaEarth embedding band A40,0.007717865864179499,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A36,AlphaEarth embedding band A36,0.007680135378235324,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A21,AlphaEarth embedding band A21,0.007553666953606634,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A23,AlphaEarth embedding band A23,0.007544636356355201,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A31,AlphaEarth embedding band A31,0.00695186262621072,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A59,AlphaEarth embedding band A59,0.0068886946231610955,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A06,AlphaEarth embedding band A06,0.006817766927703368,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A33,AlphaEarth embedding band A33,0.00673062671649238,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A04,AlphaEarth embedding band A04,0.006712613785449824,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A11,AlphaEarth embedding band A11,0.00656409221063292,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A30,AlphaEarth embedding band A30,0.006421928911691073,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A52,AlphaEarth embedding band A52,0.00630734809730361,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A10,AlphaEarth embedding band A10,0.00601612405718805,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A62,AlphaEarth embedding band A62,0.006007857027360331,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A32,AlphaEarth embedding band A32,0.005626686605974063,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A63,AlphaEarth embedding band A63,0.005414945731212544,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A43,AlphaEarth embedding band A43,0.005413571674372255,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A28,AlphaEarth embedding band A28,0.005004939686467986,alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest
A16,AlphaEarth embedding band A16,0.07444768779558676,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A55,AlphaEarth embedding band A55,0.053883433612561676,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A15,AlphaEarth embedding band A15,0.044020615306498916,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A14,AlphaEarth embedding band A14,0.03466015350140321,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A44,AlphaEarth embedding band A44,0.03440853812165028,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A60,AlphaEarth embedding band A60,0.02868842356470384,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A48,AlphaEarth embedding band A48,0.022941737439405196,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A42,AlphaEarth embedding band A42,0.021008587563452606,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A08,AlphaEarth embedding band A08,0.020720573966228027,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A34,AlphaEarth embedding band A34,0.020399930290174673,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A02,AlphaEarth embedding band A02,0.019787997773997205,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A09,AlphaEarth embedding band A09,0.018845440922412384,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A57,AlphaEarth embedding band A57,0.018596126732677947,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A47,AlphaEarth embedding band A47,0.01829304772674617,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A24,AlphaEarth embedding band A24,0.017545772229380533,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A39,AlphaEarth embedding band A39,0.01733430958151208,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A22,AlphaEarth embedding band A22,0.016985924467634056,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A49,AlphaEarth embedding band A49,0.0167224038300977,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A25,AlphaEarth embedding band A25,0.01627221862607471,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A03,AlphaEarth embedding band A03,0.01598292603963818,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A17,AlphaEarth embedding band A17,0.015719354589141248,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A50,AlphaEarth embedding band A50,0.015662204159969856,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A58,AlphaEarth embedding band A58,0.014867207374936768,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A46,AlphaEarth embedding band A46,0.01483588611398241,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A61,AlphaEarth embedding band A61,0.014589053707884497,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A07,AlphaEarth embedding band A07,0.014505023477820728,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A54,AlphaEarth embedding band A54,0.014218717205556572,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A12,AlphaEarth embedding band A12,0.01304598285365283,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A18,AlphaEarth embedding band A18,0.012701925939185075,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A19,AlphaEarth embedding band A19,0.0126771215117864,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A45,AlphaEarth embedding band A45,0.012630666871683745,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A35,AlphaEarth embedding band A35,0.012505584602287548,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A13,AlphaEarth embedding band A13,0.012436594994305421,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A26,AlphaEarth embedding band A26,0.012193509904461084,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A51,AlphaEarth embedding band A51,0.012031985058780191,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A01,AlphaEarth embedding band A01,0.011758823840848259,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A20,AlphaEarth embedding band A20,0.011656596129558073,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A56,AlphaEarth embedding band A56,0.011509300243154517,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A05,AlphaEarth embedding band A05,0.011419681734608023,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A27,AlphaEarth embedding band A27,0.011234172797158182,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A37,AlphaEarth embedding band A37,0.010745821911391704,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A00,AlphaEarth embedding band A00,0.010524685106963796,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A31,AlphaEarth embedding band A31,0.010134613166041915,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A33,AlphaEarth embedding band A33,0.010024157854152654,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A52,AlphaEarth embedding band A52,0.0094256084776868,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A29,AlphaEarth embedding band A29,0.009404305351939255,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A53,AlphaEarth embedding band A53,0.009383265964617539,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A38,AlphaEarth embedding band A38,0.009147543856910972,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A06,AlphaEarth embedding band A06,0.009061172717901321,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A41,AlphaEarth embedding band A41,0.008804061213806466,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A30,AlphaEarth embedding band A30,0.00875916766973974,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A04,AlphaEarth embedding band A04,0.008659511950633782,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A59,AlphaEarth embedding band A59,0.008423182712687756,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A23,AlphaEarth embedding band A23,0.008236820978895755,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A40,AlphaEarth embedding band A40,0.008155862875666864,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A36,AlphaEarth embedding band A36,0.00811392257418075,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A21,AlphaEarth embedding band A21,0.007978507650982802,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A63,AlphaEarth embedding band A63,0.0077122408768222185,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A11,AlphaEarth embedding band A11,0.0076184265058406595,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A62,AlphaEarth embedding band A62,0.007439417231169897,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A10,AlphaEarth embedding band A10,0.007415269724572913,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
